STATE,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(,),",",;,<,=,F,N,T,V,add,and,begin,div,else,end,eq,grt,halt,if,input,main,mul,not,num,or,print,skip,sqrt,sub,text,then,void,{,},ε,$,PROG,GLOBVARS,VTYP,VNAME,ALGO,INSTRUC,COMMAND,ATOMIC,CONST,ASSIGN,CALL,BRANCH,TERM,OP,ARG,COND,SIMPLE,COMPOSIT,UNOP,BINOP,FNAME,FUNCTIONS,DECL,HEADER,FTYP,BODY,PROLOG,EPILOG,LOCVARS,SUBFUNCS
81,,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,41,,,,95,42,,,,,96,94,,,,73,74,,,,,,,,,,
83,,,,,,,,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,41,,,,95,42,,,,,96,97,,,,73,74,,,,,,,,,,
84,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,98,42,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,s101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,s102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,s18,,,s13,,,,,,,,,,,,,,,,,,,,,,,105,14,15,16,,,,,104
91,,,,,,,,,,,,,,,,,,,,,,,,,r( EPILOG -> } ),,,,,,,,r( EPILOG -> } ),,,r( EPILOG -> } ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,r( ARG -> ATOMIC ),r( ARG -> ATOMIC ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,r( ARG -> OP ),r( ARG -> OP ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,s109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,112,42,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,s57,s54,,s60,,,s55,s56,,,,,s59,,,s53,,,,s58,,,,,,,,,,,,,,,,,,,,,,,,113,,,88,,,,,,,,,,
102,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,86,42,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r( COMPOSIT -> UNOP ( SIMPLE ) ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,r( SUBFUNCS -> FUNCTIONS ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,s116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,r( OP -> UNOP ( ARG ) ),r( OP -> UNOP ( ARG ) ),r( OP -> UNOP ( ARG ) ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,41,,,,95,42,,,,,96,117,,,,73,74,,,,,,,,,,
110,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,118,42,,,,,,,,,,,,,,,,,,,,,
111,,,,r( BRANCH -> if COND then ALGO else ALGO ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,r( BODY -> PROLOG LOCVARS ALGO EPILOG SUBFUNCS end ),,,,,,,,r( BODY -> PROLOG LOCVARS ALGO EPILOG SUBFUNCS end ),,,r( BODY -> PROLOG LOCVARS ALGO EPILOG SUBFUNCS end ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,s121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,s123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,"r( SIMPLE -> BINOP ( ATOMIC , ATOMIC ) )","r( SIMPLE -> BINOP ( ATOMIC , ATOMIC ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"r( SIMPLE -> BINOP ( ATOMIC , ATOMIC ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"r( COMPOSIT -> BINOP ( SIMPLE , SIMPLE ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,"r( OP -> BINOP ( ARG , ARG ) )","r( OP -> BINOP ( ARG , ARG ) )","r( OP -> BINOP ( ARG , ARG ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,"r( CALL -> FNAME ( ATOMIC , ATOMIC , ATOMIC ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"r( HEADER -> FTYP FNAME ( VNAME , VNAME , VNAME ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,"r( LOCVARS -> VTYP VNAME , VTYP VNAME , VTYP VNAME , )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
